accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.6785714030265808,0.582131028175354,0.675561785697937,0.6871428489685059,0.5,0.7831491827964783,0.0,0.0
0.9242857098579407,0.23074378073215485,0.9279538989067078,0.9200000166893005,0.7366666793823242,0.520431637763977,1.0,0.47333332896232605
0.9578571319580078,0.11876807361841202,0.9507735371589661,0.9657142758369446,0.8366666436195374,0.31922540068626404,1.0,0.6733333468437195
0.9878571629524231,0.03714550659060478,0.9830268621444702,0.9928571581840515,0.503333330154419,1.8018819093704224,1.0,0.006666666828095913
0.9921428561210632,0.02452758327126503,0.9900426864624023,0.9942857027053833,0.7699999809265137,0.5452837347984314,1.0,0.5400000214576721
0.9907143115997314,0.027439018711447716,0.9886202216148376,0.9928571581840515,0.5,1.857890248298645,0.0,0.0
0.9964285492897034,0.013372659683227539,0.9971387982368469,0.9957143068313599,1.0,0.003172800876200199,1.0,1.0
0.9985714554786682,0.012594453059136868,0.9971510171890259,1.0,0.8666666746139526,0.2983754277229309,1.0,0.7333333492279053
0.9992856979370117,0.002837054431438446,0.9985734820365906,1.0,0.7866666913032532,0.5351331830024719,1.0,0.5733333230018616
0.9942857027053833,0.017799995839595795,0.9957020282745361,0.9928571581840515,1.0,0.0014842130476608872,1.0,1.0
0.9928571581840515,0.016779689118266106,0.9928571581840515,0.9928571581840515,0.9366666674613953,0.15209726989269257,1.0,0.8733333349227905
1.0,0.00210648775100708,1.0,1.0,0.9066666960716248,0.2351241111755371,1.0,0.8133333325386047
1.0,0.0013637045631185174,1.0,1.0,0.9399999976158142,0.1468144804239273,1.0,0.8799999952316284
0.9921428561210632,0.029502972960472107,0.9900426864624023,0.9942857027053833,0.8999999761581421,0.24148717522621155,1.0,0.800000011920929
0.9985714554786682,0.006224675104022026,0.9971510171890259,1.0,1.0,0.00566650228574872,1.0,1.0
