Exp_ID,Accuracy,F1_Score,Timp_Antrenare,Observatii
Baseline,1.0,1.0,19.03s,Referinta
Exp_1,0.66,0.4848,18.29s,Convergenta fina
Exp_2,0.9867,0.9865,15.58s,Viteza mare
Exp_3,0.9933,0.9933,21.08s,Capacitate crescuta
Exp_4,0.96,0.9583,27.05s,Regularizare agresiva
Exp_5,1.0,1.0,17.95s,Augmentare robusta
