Exp_ID,Modificare,Accuracy,F1_Score,Timp_Antrenare,Observatii
Baseline,Config Etapa 5,0.9978,0.9978,19.56s,Referinta
Exp 1,LR 0.001 -> 0.0001,1.0,1.0,15.48s,Convergenta mai lenta
Exp 2,Batch 32 -> 64,0.5,0.0,40.73s,"Viteza mare, stabilitate redusa"
Exp 3,+1 Hidden Layer (128),1.0,1.0,16.97s,Capacitate crescuta
Exp 4,Dropout 0.5 -> 0.7,1.0,1.0,15.44s,Regularizare agresiva
Exp 5,Extra Augmentare (Gaussian),1.0,1.0,30.93s,Robustete (BEST)
